,tournament,fullname,Count_Win,Count_Lose,total_play,perc_win
239,Wimbledon,Matteo Berrettini,4,2,6,66.67
241,Wimbledon,Matthew Ebden,3,6,9,33.33
242,Wimbledon,Max Mirnyi,12,8,20,60.0
244,Wimbledon,Michael Berrer,1,6,7,14.29
245,Wimbledon,Michael Chang,3,3,6,50.0
246,Wimbledon,Michael Llodra,9,13,22,40.910000000000004
247,Wimbledon,Michael Russell,2,8,10,20.0
249,Wimbledon,Michel Kratochvil,3,3,6,50.0
250,Wimbledon,Mikhail Kukushkin,8,8,16,50.0
251,Wimbledon,Mikhail Youzhny,32,18,50,64.0
252,Wimbledon,Milos Raonic,27,9,36,75.0
254,Wimbledon,Mischa Zverev,5,7,12,41.67
256,Wimbledon,Nick Kyrgios,13,6,19,68.42
257,Wimbledon,Nicolas Almagro,10,11,21,47.620000000000005
259,Wimbledon,Nicolas Escude,8,4,12,66.67
261,Wimbledon,Nicolas Kiefer,11,10,21,52.38
262,Wimbledon,Nicolas Lapentti,6,6,12,50.0
263,Wimbledon,Nicolas Mahut,9,12,21,42.86
264,Wimbledon,Nicolas Massu,4,9,13,30.769999999999996
266,Wimbledon,Nikolay Davydenko,7,11,18,38.89
267,Wimbledon,Nikoloz Basilashvili,4,4,8,50.0
268,Wimbledon,Novak Djokovic,72,10,82,87.8
270,Wimbledon,Olivier Rochus,13,13,26,50.0
271,Wimbledon,Pablo Andujar,2,7,9,22.220000000000002
272,Wimbledon,Pablo Cuevas,2,6,8,25.0
273,Wimbledon,Paolo Lorenzi,2,9,11,18.18
274,Wimbledon,Paradorn Srichaphan,5,7,12,41.67
275,Wimbledon,Patrick Rafter,12,2,14,85.71
278,Wimbledon,Paul Henri Mathieu,11,12,23,47.83
279,Wimbledon,Pete Sampras,11,2,13,84.61999999999999
282,Wimbledon,Philipp Kohlschreiber,13,15,28,46.43
283,Wimbledon,Philipp Petzschner,6,6,12,50.0
284,Wimbledon,Pierre Hugues Herbert,5,6,11,45.45
285,Wimbledon,Potito Starace,1,9,10,10.0
