,tournament,fullname,Count_Win,Count_Lose,total_play,perc_win
367,French Open,Tobias Kamke,4,6,10,40.0
368,French Open,Todd Martin,2,5,7,28.57
369,French Open,Tomas Behrend,1,5,6,16.669999999999998
370,French Open,Tomas Berdych,25,15,40,62.5
371,French Open,Tommy Haas,19,11,30,63.33
372,French Open,Tommy Robredo,37,14,51,72.55
374,French Open,Victor Estrella,2,4,6,33.33
375,French Open,Victor Hanescu,16,11,27,59.260000000000005
376,French Open,Viktor Troicki,15,9,24,62.5
377,French Open,Vincent Spadea,6,8,14,42.86
379,French Open,Wayne Arthurs,4,7,11,36.36
380,French Open,Wayne Ferreira,4,5,9,44.440000000000005
383,French Open,Xavier Malisse,13,10,23,56.52
385,French Open,Yen Hsun Lu,2,9,11,18.18
386,French Open,Yevgeny Kafelnikov,10,4,14,71.43
388,French Open,Younes El Aynaoui,7,4,11,63.63999999999999
